go_term,n_term_in_top50,n_term_in_bot50,OR_top50_vs_bot50,p_top50_vs_bot50,bh_fdr_sig
GO:0051091,1,2,0.4897959183673469,0.8787878787878788,False
GO:0032722,1,2,0.4897959183673469,0.8787878787878788,False
GO:1904707,1,2,0.4897959183673469,0.8787878787878788,False
GO:0003713,1,2,0.4897959183673469,0.8787878787878788,False
GO:0030670,1,2,0.4897959183673469,0.8787878787878788,False
GO:0043388,1,2,0.4897959183673469,0.8787878787878788,False
GO:0004672,1,2,0.4897959183673469,0.8787878787878788,False
GO:0003151,1,2,0.4897959183673469,0.8787878787878788,False
GO:0001938,1,2,0.4897959183673469,0.8787878787878788,False
GO:0070301,1,2,0.4897959183673469,0.8787878787878788,False
GO:0048469,1,2,0.4897959183673469,0.8787878787878788,False
GO:0001570,1,2,0.4897959183673469,0.8787878787878788,False
GO:0016323,1,2,0.4897959183673469,0.8787878787878788,False
GO:0010595,1,2,0.4897959183673469,0.8787878787878788,False
GO:0019957,1,2,0.4897959183673469,0.8787878787878788,False
GO:0016493,1,2,0.4897959183673469,0.8787878787878788,False
GO:0044877,2,4,0.4791666666666667,0.8977992074845033,False
GO:0005783,2,4,0.4791666666666667,0.8977992074845033,False
GO:0005125,2,4,0.4791666666666667,0.8977992074845033,False
GO:0005102,2,4,0.4791666666666667,0.8977992074845033,False
GO:0001525,3,6,0.46808510638297873,0.9202474926924895,False
GO:0006355,3,6,0.46808510638297873,0.9202474926924895,False
GO:0005730,1,3,0.3197278911564626,0.9412683536394877,False
GO:0046982,1,3,0.3197278911564626,0.9412683536394877,False
GO:0005739,1,3,0.3197278911564626,0.9412683536394877,False
GO:0071456,1,3,0.3197278911564626,0.9412683536394877,False
GO:0032355,1,3,0.3197278911564626,0.9412683536394877,False
GO:0019722,1,3,0.3197278911564626,0.9412683536394877,False
GO:0043410,1,3,0.3197278911564626,0.9412683536394877,False
GO:0042060,1,3,0.3197278911564626,0.9412683536394877,False
GO:0016604,1,3,0.3197278911564626,0.9412683536394877,False
GO:0098586,1,3,0.3197278911564626,0.9412683536394877,False
GO:0007186,2,5,0.375,0.9441251911409264,False
GO:0001934,2,5,0.375,0.9441251911409264,False
GO:0062023,2,6,0.3055555555555556,0.970276956108262,False
GO:0008083,1,4,0.23469387755102042,0.9718577527855878,False
GO:0019899,1,4,0.23469387755102042,0.9718577527855878,False
GO:0000139,1,4,0.23469387755102042,0.9718577527855878,False
GO:0043065,2,7,0.25595238095238093,0.9845710885127684,False
GO:0005576,8,18,0.3386243386243386,0.9943517715902607,False
GO:0070062,5,14,0.2857142857142857,0.9952557123405694,False
GO:0005788,1,7,0.12536443148688048,0.9971149189901924,False
GO:0005615,5,18,0.19753086419753085,0.9996777335264053,False
GO:0051402,0,1,0.0,1.0,False
GO:0106310,0,1,0.0,1.0,False
GO:0031410,0,2,0.0,1.0,False
GO:0047485,0,2,0.0,1.0,False
GO:0042981,0,1,0.0,1.0,False
GO:0051726,0,2,0.0,1.0,False
GO:0031625,0,1,0.0,1.0,False
GO:0016525,0,1,0.0,1.0,False
GO:0006919,0,1,0.0,1.0,False
GO:0090200,0,3,0.0,1.0,False
GO:0005164,0,1,0.0,1.0,False
GO:0031334,0,1,0.0,1.0,False
GO:0097191,0,1,0.0,1.0,False
GO:0030198,0,2,0.0,1.0,False
GO:0032731,0,1,0.0,1.0,False
GO:0008022,0,1,0.0,1.0,False
GO:0001649,0,1,0.0,1.0,False
GO:0012507,0,3,0.0,1.0,False
GO:0042605,0,3,0.0,1.0,False
GO:0001916,0,3,0.0,1.0,False
GO:0071556,0,3,0.0,1.0,False
GO:0031901,0,2,0.0,1.0,False
GO:1904813,0,3,0.0,1.0,False
GO:0006508,0,2,0.0,1.0,False
GO:0003714,0,4,0.0,1.0,False
GO:0042826,0,3,0.0,1.0,False
GO:0048662,0,3,0.0,1.0,False
GO:0005856,0,2,0.0,1.0,False
GO:0008360,0,3,0.0,1.0,False
GO:0050790,0,2,0.0,1.0,False
GO:0030183,0,1,0.0,1.0,False
GO:0005796,0,3,0.0,1.0,False
