layer,seed,gene,margin,t_dual,d_dual_to_tf,d_dual_to_tgt,d_tf_to_tgt
1,main,BCL6,-1.96133027870345,-0.19866444,0.22533482,1.0566727,0.8733428
1,main,NFKB1,-1.6617516397522227,-0.19866444,0.22533482,1.0566727,0.8733428
1,main,STAT3,-1.8353752307815867,-0.19866444,0.22533482,1.0566727,0.8733428
1,main,CEBPB,-2.7188061627397895,-0.19866444,0.22533482,1.0566727,0.8733428
1,main,PRDM1,-1.628153120484584,-0.19866444,0.22533482,1.0566727,0.8733428
1,main,PPARG,-0.8471016064392971,-0.19866444,0.22533482,1.0566727,0.8733428
1,main,CREM,-1.648897771942632,-0.19866444,0.22533482,1.0566727,0.8733428
1,main,FOS,-2.154931971803294,-0.19866444,0.22533482,1.0566727,0.8733428
1,main,CTNNB1,-1.4660634796047831,-0.19866444,0.22533482,1.0566727,0.8733428
1,main,JUN,-2.067797389537027,-0.19866444,0.22533482,1.0566727,0.8733428
1,main,RB1,-1.6207517442841244,-0.19866444,0.22533482,1.0566727,0.8733428
1,main,DACH1,0.07914581560759304,-0.19866444,0.22533482,1.0566727,0.8733428
1,main,EGR1,-2.3754270225107894,-0.19866444,0.22533482,1.0566727,0.8733428
1,main,ERG,-0.2852504429179663,-0.19866444,0.22533482,1.0566727,0.8733428
1,main,ZEB1,-0.9640960107650802,-0.19866444,0.22533482,1.0566727,0.8733428
1,main,ESR1,-0.47025389784883176,-0.19866444,0.22533482,1.0566727,0.8733428
1,main,RUNX2,-0.7030714017639355,-0.19866444,0.22533482,1.0566727,0.8733428
1,main,ETS1,-0.9058894970811626,-0.19866444,0.22533482,1.0566727,0.8733428
1,main,ETS2,-2.1993178076897566,-0.19866444,0.22533482,1.0566727,0.8733428
1,main,FHL2,-1.6768199219168851,-0.19866444,0.22533482,1.0566727,0.8733428
1,main,RELA,-2.9322504090549013,-0.19866444,0.22533482,1.0566727,0.8733428
1,main,SPI1,-2.3608809112624503,-0.19866444,0.22533482,1.0566727,0.8733428
1,main,FOXO3,-1.8647472354409735,-0.19866444,0.22533482,1.0566727,0.8733428
1,main,GFI1B,-2.48745262202718,-0.19866444,0.22533482,1.0566727,0.8733428
1,main,KLF1,-2.2585670076588023,-0.19866444,0.22533482,1.0566727,0.8733428
