go_term,n_term_genes,n_in_top,n_in_bot,odds_ratio,p_fisher
GO:0048545,8,1,2,0.4897959183673469,0.8787878787878788
GO:0045785,8,1,2,0.4897959183673469,0.8787878787878788
GO:0006468,6,1,2,0.4897959183673469,0.8787878787878788
GO:0030330,6,1,2,0.4897959183673469,0.8787878787878788
GO:0071260,7,1,2,0.4897959183673469,0.8787878787878788
GO:0060326,9,1,2,0.4897959183673469,0.8787878787878788
GO:0001938,6,1,2,0.4897959183673469,0.8787878787878788
GO:0010595,5,1,2,0.4897959183673469,0.8787878787878788
GO:0003151,5,1,2,0.4897959183673469,0.8787878787878788
GO:1904707,6,1,2,0.4897959183673469,0.8787878787878788
GO:0001570,5,1,2,0.4897959183673469,0.8787878787878788
GO:0043410,12,2,4,0.4791666666666667,0.8977992074845033
GO:0043524,11,2,4,0.4791666666666667,0.8977992074845033
GO:0006629,9,1,3,0.3197278911564626,0.9412683536394877
GO:0019722,10,1,3,0.3197278911564626,0.9412683536394877
GO:0032355,8,1,3,0.3197278911564626,0.9412683536394877
GO:0070301,6,1,3,0.3197278911564626,0.9412683536394877
GO:0032868,7,1,3,0.3197278911564626,0.9412683536394877
GO:0098586,7,1,3,0.3197278911564626,0.9412683536394877
GO:0019882,9,1,3,0.3197278911564626,0.9412683536394877
GO:0001568,5,1,3,0.3197278911564626,0.9412683536394877
GO:0001525,13,2,6,0.3055555555555556,0.970276956108262
GO:0043065,22,2,7,0.25595238095238093,0.9845710885127684
GO:0016525,6,0,2,0.0,1.0
GO:0032731,6,0,1,0.0,1.0
GO:2001238,7,0,1,0.0,1.0
GO:0051726,9,0,2,0.0,1.0
GO:0043029,5,0,1,0.0,1.0
GO:0008283,5,0,3,0.0,1.0
GO:0090200,6,0,3,0.0,1.0
GO:0001649,10,0,2,0.0,1.0
GO:0023052,5,0,1,0.0,1.0
GO:0006508,7,0,3,0.0,1.0
GO:0097191,5,0,1,0.0,1.0
GO:0001916,7,0,4,0.0,1.0
GO:0048662,5,0,3,0.0,1.0
