tf,n_targets,layer,obs_dist,null_dist_mean,null_dist_std,z_dist
HIF3A,11,2,15.472922924835096,14.81757851925803,1.0108530797833493,0.648308264260839
HIF3A,11,3,15.495793747101562,14.691745549069902,1.1445033793596084,0.7025302087631708
HIF3A,11,4,14.873016296124888,14.276947303151086,1.1265109885526174,0.5291284319735335
HIF3A,11,5,14.530934035129132,13.497079768599146,1.3429796418984876,0.7698212499100056
HIF3A,11,6,14.531219506456607,13.008710650584609,1.319828705430206,1.1535654964980677
HIF3A,11,7,14.519139904723655,13.214252785078779,1.5858107188555717,0.8228517465101831
HIF3A,11,8,14.683783046603079,13.235687243006016,1.6901585065316378,0.856781064024989
HIF3A,11,9,13.942892925135288,11.479300773176652,2.091761334830581,1.177759675990077
HIF3A,11,10,12.875468461336188,10.004663723941702,2.3153494285244887,1.2399012874803848
HIF3A,11,11,10.810746504141822,7.500573324727426,1.9854911012450667,1.667181070385379
HIPK2,12,0,16.517598756406915,17.467332360974012,0.700991098298768,-1.3548440299341902
HIPK2,12,1,14.75579004581441,15.587318865917927,0.769096708007636,-1.0811758930260071
HIPK2,12,2,14.071258388745859,14.918537747670703,0.8618351018795533,-0.9831107564278073
HIPK2,12,3,13.984200484238032,14.545963519617862,1.0254221246561166,-0.5478358832643887
HIPK2,12,4,13.179705849225906,14.075297262796468,1.1147542202001732,-0.803398092011478
HIPK2,12,5,12.76094490009415,13.412002360410117,0.8647958887170787,-0.7528452306610842
HIPK2,12,6,12.623498191028098,13.181612977111104,1.3100966935871468,-0.42601037680268067
HIPK2,12,7,12.442864630428009,12.973243871388831,1.4798690541824717,-0.3583960617744127
HIPK2,12,8,12.26722327690319,13.120025800509833,1.7027155583121367,-0.500848494302834
HIPK2,12,9,11.20557502531664,11.957092461905653,1.4277178970618243,-0.5263767009824554
HIPK2,12,10,9.704872254151743,10.080763823335229,2.3166117558965134,-0.16225919955155277
HIPK2,12,11,7.835512768632591,8.51418867126426,2.091664157910138,-0.32446695616267546
HOPX,17,0,18.23416417909906,17.4712831957655,0.48099503282395606,1.5860475291285878
HOPX,17,1,16.28687200145361,15.563840942208113,0.6394839181407151,1.1306477594427902
HOPX,17,2,15.509514074637968,14.827242478066722,0.746190523343486,0.9143396695982735
HOPX,17,3,15.42904419803962,14.954258518423035,0.6170238628820044,0.7694770140638452
HOPX,17,4,14.665192960573652,14.173555992333812,1.0182210713664173,0.48283912213688557
HOPX,17,5,14.293325292835831,13.755556979815822,0.8484461642638923,0.6338272664436816
HOPX,17,6,14.09916222570881,13.274460755092736,0.8688063938016856,0.9492350384386333
HOPX,17,7,13.83671399767583,13.227533530516855,0.9258149451605299,0.6579937711562296
HOPX,17,8,13.64667134233257,13.024008422528581,1.1622496388936645,0.5357393962253213
HOPX,17,9,12.633212378066672,11.925634308325355,0.8483601305581248,0.8340538932160926
HOPX,17,10,11.156714703195084,10.427498444645837,1.5445303895325704,0.47212813907140644
HOPX,17,11,9.115460921088918,8.010672015197661,1.9548775610730158,0.5651448090103643
IRF4,18,0,17.518170270512208,17.49897003504129,0.44901387625855677,0.042760895567206816
IRF4,18,1,15.844625485275769,15.65892495503563,0.5470722797904645,0.3394442326912712
IRF4,18,2,15.26609577083004,14.814172384665081,0.7685350805748455,0.5880322155586325
IRF4,18,3,15.279411930192568,14.931057218509318,0.5895859669644146,0.5908463416739959
IRF4,18,4,14.662164917981716,13.93494214925067,0.7282937538271278,0.9985294600009218
IRF4,18,5,14.299113578621277,13.85227847908023,0.7187131571897319,0.6217154856163127
IRF4,18,6,14.173499137992485,13.678398811439308,0.8845926469331109,0.559693016067557
IRF4,18,7,13.973274528021722,13.38685260150099,0.8717883813865623,0.6726654530403803
IRF4,18,8,13.93240619727558,13.119222789575721,1.2759426543633585,0.6373197141101945
IRF4,18,9,13.1557137140867,12.480764870273765,1.5856245845065742,0.42566749431610895
IRF4,18,10,12.05163176829542,11.272843191876936,1.6404892463572986,0.4747294614382768
IRF4,18,11,10.085543322361962,8.770212385719287,1.9991846433832186,0.6579336936165847
IRF8,19,0,17.50318818697511,17.450152324157912,0.4190643427363386,0.12655780367972075
IRF8,19,1,15.635063852095689,15.51011300598268,0.49060792182614066,0.25468574915773295
IRF8,19,2,14.797126783533093,15.01818712617,0.4867528396694691,-0.4541531648526561
IRF8,19,3,14.659999449009945,15.087876316123916,0.622872844631995,-0.6869409556083135
IRF8,19,4,13.972020652388737,13.707335517725308,0.813717992507691,0.32527870478534027
IRF8,19,5,13.508141895000719,13.8817105392533,0.8664768267227831,-0.4311351818438171
IRF8,19,6,13.289013550291457,13.670729399597866,1.0480143492024154,-0.3642276936350256
IRF8,19,7,12.820370182654841,13.444437019722685,0.937100677143194,-0.6659549526421724
IRF8,19,8,12.53028269056541,13.577969063719937,0.8233818436254604,-1.2724186005139768
IRF8,19,9,11.557012155353828,11.966459749605658,1.1643537241233244,-0.35165223915104926
IRF8,19,10,10.122929362989385,10.5686576780316,1.5256454739358551,-0.29215720339819634
IRF8,19,11,8.300395850497774,7.927603613022038,1.7120058274517993,0.21775173395911313
JARID2,16,0,17.854525482833164,17.51603907244188,0.4736163335422576,0.7146848333115656
